Full_Sentence,Word,Tag
hızlıca koştu,hızlıca,BELİRTEÇ-ADVERB
hızlıca koştu,koştu,FİİL-VERB
dün geldi,dün,BELİRTEÇ-ADVERB
dün geldi,geldi,FİİL-VERB
sessizce ağlıyordu,sessizce,BELİRTEÇ-ADVERB
sessizce ağlıyordu,ağlıyordu,FİİL-VERB
çok çalışır,çok,BELİRTEÇ-ADVERB
çok çalışır,çalışır,FİİL-VERB
yarın gidecek,yarın,BELİRTEÇ-ADVERB
yarın gidecek,gidecek,FİİL-VERB
dışarıda bekliyor,dışarıda,BELİRTEÇ-ADVERB
dışarıda bekliyor,bekliyor,FİİL-VERB
asla unutmam,asla,BELİRTEÇ-ADVERB
asla unutmam,unutmam,FİİL-VERB
her zaman güler,her,BELİRLEYİCİ-DET
her zaman güler,zaman,AD-NOUN
her zaman güler,güler,FİİL-VERB
yavaş yavaş yürüdü,yavaş,BELİRTEÇ-ADVERB
yavaş yavaş yürüdü,yavaş,BELİRTEÇ-ADVERB
yavaş yavaş yürüdü,yürüdü,FİİL-VERB
sevinçle zıpladı,sevinçle,BELİRTEÇ-ADVERB
sevinçle zıpladı,zıpladı,FİİL-VERB
dikkatle dinledi,dikkatle,BELİRTEÇ-ADVERB
dikkatle dinledi,dinledi,FİİL-VERB
akşama dönecek,akşama,BELİRTEÇ-ADVERB
akşama dönecek,dönecek,FİİL-VERB
bazen hatırlarım,bazen,BELİRTEÇ-ADVERB
bazen hatırlarım,hatırlarım,FİİL-VERB
gizlice girdi,gizlice,BELİRTEÇ-ADVERB
gizlice girdi,girdi,FİİL-VERB
hemen anladı,hemen,BELİRTEÇ-ADVERB
hemen anladı,anladı,FİİL-VERB
içeride oturuyor,içeride,BELİRTEÇ-ADVERB
içeride oturuyor,oturuyor,FİİL-VERB
şimdi konuşuyor,şimdi,BELİRTEÇ-ADVERB
şimdi konuşuyor,konuşuyor,FİİL-VERB
sonra görüşürüz,sonra,BELİRTEÇ-ADVERB
sonra görüşürüz,görüşürüz,FİİL-VERB
sık sık arardı,sık,BELİRTEÇ-ADVERB
sık sık arardı,sık,BELİRTEÇ-ADVERB
sık sık arardı,arardı,FİİL-VERB
genellikle okur,genellikle,BELİRTEÇ-ADVERB
genellikle okur,okur,FİİL-VERB
sinirle bağırdı,sinirle,BELİRTEÇ-ADVERB
sinirle bağırdı,bağırdı,FİİL-VERB
mutlulukla kabul etti,mutlulukla,BELİRTEÇ-ADVERB
mutlulukla kabul etti,kabul,AD-NOUN
mutlulukla kabul etti,etti,FİİL-VERB
inatla direndi,inatla,BELİRTEÇ-ADVERB
inatla direndi,direndi,FİİL-VERB
ansızın belirdi,ansızın,BELİRTEÇ-ADVERB
ansızın belirdi,belirdi,FİİL-VERB
sabırla bekledi,sabırla,BELİRTEÇ-ADVERB
sabırla bekledi,bekledi,FİİL-VERB
kolayca çözdü,kolayca,BELİRTEÇ-ADVERB
kolayca çözdü,çözdü,FİİL-VERB
zorla yaptırdı,zorla,BELİRTEÇ-ADVERB
