Sentence,Word_Count,Tag_Count,Word_Tag_Pairs
Abi çocuğa bisiklet sürmeyi gösterdi.,5,2,Abi:AD-NOUN|çocuğa:AD-NOUN|bisiklet:AD-NOUN|sürmeyi:FİİL-VERB|gösterdi:FİİL-VERB
Acemi doktor hastaya yanlış teşhis koydu.,6,3,Acemi:SIFAT-ADJECTIVE|doktor:AD-NOUN|hastaya:AD-NOUN|yanlış:SIFAT-ADJECTIVE|teşhis:AD-NOUN|koydu:FİİL-VERB
Acıya dayandı.,2,2,Acıya:AD-NOUN|dayandı:FİİL-VERB
Adam hapşırdı.,2,2,Adam:AD-NOUN|hapşırdı:FİİL-VERB
Adam kapıyı sinirle duvara çarptı.,5,2,Adam:AD-NOUN|kapıyı:AD-NOUN|sinirle:AD-NOUN|duvara:AD-NOUN|çarptı.:FİİL-VERB
Adam sinirle bağırdı.,3,3,Adam:AD-NOUN|sinirle:BELİRTEÇ-ADVERB|bağırdı:FİİL-VERB
Adayı iki defa gördüm.,5,5,Adayı:İSİM-NOUN|iki:SAYI-NUM|defa:ZARF-ADV|gördüm:FİİL-VERB|.:NOKTALAMA-PUNC
Adlî kovuşturmanın gerektirdiği istisnalar saklıdır.,6,4,Adlî:SIFAT-ADJECTIVE|kovuşturmanın:AD-NOUN|gerektirdiği:SIFAT-ADJECTIVE|istisnalar:AD-NOUN|saklıdır:FİİL-VERB|.:NOKTALAMA-PUNCTUATION
Aile evi satmaya karar verdi.,5,2,Aile:AD-NOUN|evi:AD-NOUN|satmaya:FİİL-VERB|karar:AD-NOUN|verdi.:FİİL-VERB
Aile geleneği sürdürdü.,3,2,Aile:AD-NOUN|geleneği:AD-NOUN|sürdürdü.:FİİL-VERB
Ailece filmi izliyorlar.,3,2,Ailece:AD-NOUN|filmi:AD-NOUN|izliyorlar.:FİİL-VERB
Ailesinden uzakta olduğu için bayramlar buruk geçiyordu.,7,5,Ailesinden:AD-NOUN|uzakta:SIFAT-ADJECTIVE|olduğu:FİİL-VERB|için:İLGEÇ-PREPOS|bayramlar:AD-NOUN|buruk:BELİRTEÇ-ADVERB|geçiyordu.:FİİL-VERB
Ailesini doyuracak kadar para kazanmaya çalışıyordu.,6,3,Ailesini:AD-NOUN|doyuracak:FİİL-VERB|kadar:İLGEÇ-PREPOS|para:AD-NOUN|kazanmaya:FİİL-VERB|çalışıyordu.:FİİL-VERB
Ajan bu görevi herkesten gizli yürüttü.,6,5,Ajan:AD-NOUN|bu:BELİRLEYİCİ-DET|görevi:AD-NOUN|herkesten:ADIL-PRONOUN|gizli:BELİRTEÇ-ADVERB|yürüttü.:FİİL-VERB
Ajan görevini tamamladı.,3,2,Ajan:AD-NOUN|görevini:AD-NOUN|tamamladı.:FİİL-VERB
Ajan sorunu kimseye fark ettirmeden çözdü.,6,3,Ajan:AD-NOUN|sorunu:AD-NOUN|kimseye:ADIL-PRONOUN|fark:AD-NOUN|ettirmeden:FİİL-VERB|çözdü.:FİİL-VERB
Ajans reklamı yayınladı.,3,2,Ajans:AD-NOUN|reklamı:AD-NOUN|yayınladı.:FİİL-VERB
Aklı karmakarışık oldu.,3,3,Aklı:AD-NOUN|karmakarışık:BELİRTEÇ-ADVERB|oldu:FİİL-VERB
Akrobat gösteri sundu.,3,2,Akrobat:AD-NOUN|gösteri:AD-NOUN|sundu.:FİİL-VERB
Akşama doğru misafirlerimiz gelecek.,4,3,Akşama:AD-NOUN|doğru:İLGEÇ-PREPOS|misafirlerimiz:AD-NOUN|gelecek.:FİİL-VERB
Akşama kadar bu raporu bitirmeliyim.,5,4,Akşama:AD-NOUN|kadar:İLGEÇ-PREPOS|bu:BELİRLEYİCİ-DET|raporu:AD-NOUN|bitirmeliyim.:FİİL-VERB
Ali geldi.,2,2,Ali:AD-NOUN|geldi:FİİL-VERB
Ali'nin arabasının anahtarı,3,1,Ali'nin:AD-NOUN|arabasının:AD-NOUN|anahtarı:AD-NOUN
Ali'nin babasının arkadaşı,3,1,Ali'nin:AD-NOUN|babasının:AD-NOUN|arkadaşı:AD-NOUN
Ali'nin en sevdiği kitap,4,3,Ali'nin:AD-NOUN|en:BELİRTEÇ-ADVERB|sevdiği:SIFAT-ADJECTIVE|kitap:AD-NOUN
Ali'nin kazandığını duydu,3,2,Ali'nin:AD-NOUN|kazandığını:FİİL-VERB|duydu:FİİL-VERB
Almaktan vazgeçti.,2,1,Almaktan:FİİL-VERB|vazgeçti:FİİL-VERB
Altmış kez haber verdim.,5,5,Altmış:SAYI-NUM|kez:ZARF-ADV|haber:İSİM-NOUN|verdim:FİİL-VERB|.:NOKTALAMA-PUNC
Altı defa daha deneyiniz.,5,4,Altı:SAYI-NUM|defa:ZARF-ADV|daha:ZARF-ADV|deneyiniz:FİİL-VERB|.:NOKTALAMA-PUNC
Altı defa kapıyı ittim.,5,5,Altı:SAYI-NUM|defa:ZARF-ADV|kapıyı:İSİM-NOUN|ittim:FİİL-VERB|.:NOKTALAMA-PUNC
Altı kere daha söyle.,5,4,Altı:SAYI-NUM|kere:ZARF-ADV|daha:ZARF-ADV|söyle:FİİL-VERB|.:NOKTALAMA-PUNC
Altı kere form doldurdun.,5,5,Altı:SAYI-NUM|kere:ZARF-ADV|form:İSİM-NOUN|doldurdun:FİİL-VERB|.:NOKTALAMA-PUNC
Altı kere geri geldim.,5,4,Altı:SAYI-NUM|kere:ZARF-ADV|geri:ZARF-ADV|geldim:FİİL-VERB|.:NOKTALAMA-PUNC
Altı kere kapı çaldı.,5,5,Altı:SAYI-NUM|kere:ZARF-ADV|kapı:İSİM-NOUN|çaldı:FİİL-VERB|.:NOKTALAMA-PUNC
Altı kere talep açtım.,5,5,Altı:SAYI-NUM|kere:ZARF-ADV|talep:İSİM-NOUN|açtım:FİİL-VERB|.:NOKTALAMA-PUNC
Altı kez dosyayı aç.,5,5,Altı:SAYI-NUM|kez:ZARF-ADV|dosyayı:İSİM-NOUN|aç:FİİL-VERB|.:NOKTALAMA-PUNC
Altı kez zil çaldı.,5,5,Altı:SAYI-NUM|kez:ZARF-ADV|zil:İSİM-NOUN|çaldı:FİİL-VERB|.:NOKTALAMA-PUNC
Altı kez çekim yaptık.,5,5,Altı:SAYI-NUM|kez:ZARF-ADV|çekim:İSİM-NOUN|yaptık:FİİL-VERB|.:NOKTALAMA-PUNC
Altı yedi kez yazdım.,5,4,Altı:SAYI-NUM|yedi:SAYI-NUM|kez:ZARF-ADV|yazdım:FİİL-VERB|.:NOKTALAMA-PUNC
Altın parıldadı.,2,2,Altın:AD-NOUN|parıldadı:FİİL-VERB
Altışar kez denemişler.,4,4,Altışar:SAYI-NUM|kez:ZARF-ADV|denemişler:FİİL-VERB|.:NOKTALAMA-PUNC
Alıcı onunla pazarlık yapmayı denedi.,5,3,Alıcı:AD-NOUN|onunla:ADIL-PRONOUN|pazarlık:AD-NOUN|yapmayı:FİİL-VERB|denedi.:FİİL-VERB
Anahtar kayboldu.,2,2,Anahtar:AD-NOUN|kayboldu:FİİL-VERB
Analist böyle sonuçlanacağını öngörmüştü.,4,3,Analist:AD-NOUN|böyle:BELİRTEÇ-ADVERB|sonuçlanacağını:FİİL-VERB|öngörmüştü.:FİİL-VERB
Anayasa herkese eşit haklar tanıdı.,5,4,Anayasa:AD-NOUN|herkese:ADIL-PRONOUN|eşit:SIFAT-ADJECTIVE|haklar:AD-NOUN|tanıdı:FİİL-VERB
"Anayasa hükümleri, yasama, yürütme ve yargı organlarını, idare makamlarını ve kişileri bağlayan temel hukuk kurallarıdır.",19,4,"Anayasa:AD-NOUN|hükümleri:AD-NOUN|,:NOKTALAMA-PUNCTUATION|yasama:AD-NOUN|,:NOKTALAMA-PUNCTUATION|yürütme:AD-NOUN|ve:BAĞLAÇ-CONJ|yargı:AD-NOUN|organlarını:AD-NOUN|,:NOKTALAMA-PUNCTUATION|idare:AD-NOUN|makamlarını:AD-NOUN|ve:BAĞLAÇ-CONJ|kişileri:AD-NOUN|bağlayan:SIFAT-ADJECTIVE|temel:SIFAT-ADJECTIVE|hukuk:AD-NOUN|kurallarıdır:AD-NOUN|.:NOKTALAMA-PUNCTUATION"
